modelo,ventana,unidad,MAE,RMSE,MAPE,tiempo_segundos
LSTM,4,G1,0.23912573932451403,0.6429709920623705,5.2805913698654035,4.489498099999764
LSTM,4,G2,0.15480487148667388,0.6602553601126888,7.940525612883438,4.146840500001417
LSTM,4,Agregado,0.19696530540559398,0.6516704831397557,6.61055849137442,
LSTM,12,G1,0.2261913143636769,0.6102152226252696,4.969032276846298,6.416099400001258
LSTM,12,G2,0.13895667495881342,0.6605443504999471,7.838556705126308,8.457254500001
LSTM,12,Agregado,0.18257399466124516,0.6358779194550651,6.4037944909863045,
LSTM,24,G1,0.2568495945853074,0.7043830827521756,5.724485168883757,6.01089950000096
LSTM,24,G2,0.13432941387421382,0.6480043691816921,7.792890545210699,6.1259181999994325
LSTM,24,Agregado,0.1955895042297606,0.6767810538667661,6.758687857047227,
